Sample,Method,Variable,Value
C036_C0.1,BCA,Mean,0.27757524
C036_C0.1,BCA,SD,0.021496065
C036_C0.1,Biuret,Mean,0.325376283
C036_C0.1,Biuret,SD,0.001363673
C035_C0.1,BCA,Mean,0.278950491
C035_C0.1,BCA,SD,0.025758728
C035_C0.1,Biuret,Mean,0.322697213
C035_C0.1,Biuret,SD,0.006251911
C034_C0.1,BCA,Mean,0.277616138
C034_C0.1,BCA,SD,0.022820219
C034_C0.1,Biuret,Mean,0.320784815
C034_C0.1,Biuret,SD,0.005951909
C030_SS,BCA,Mean,0.220379207
C030_SS,BCA,SD,0.010905972
C030_SS,Biuret,Mean,0.29340015
C030_SS,Biuret,SD,0.000720337
C030_R6,BCA,Mean,0.210991744
C030_R6,BCA,SD,0.017304483
C030_R6,Biuret,Mean,0.272962562
C030_R6,Biuret,SD,0.000732412
C030_R3,BCA,Mean,0.204017697
C030_R3,BCA,SD,0.012641059
C030_R3,Biuret,Mean,0.274366911
C030_R3,Biuret,SD,0.001145238
C030_R10,BCA,Mean,0.216813274
C030_R10,BCA,SD,0.023879292
C030_R10,Biuret,Mean,0.265090669
C030_R10,Biuret,SD,0.004286533
C029_SS,BCA,Mean,0.238112548
C029_SS,BCA,SD,0.009615428
C029_SS,Biuret,Mean,0.274072256
C029_SS,Biuret,SD,0.005865756
C029_R3,BCA,Mean,0.248145581
C029_R3,BCA,SD,0.024148512
C029_R3,Biuret,Mean,0.284508477
C029_R3,Biuret,SD,0.006329002
C029_R10,BCA,Mean,0.222119117
C029_R10,BCA,SD,0.041723697
C029_R10,Biuret,Mean,0.235480517
C029_R10,Biuret,SD,0.000129532
C026_SS,BCA,Mean,0.247468104
C026_SS,BCA,SD,0.003918346
C026_SS,Biuret,Mean,0.295251068
C026_SS,Biuret,SD,0.008058608
C026_R6,BCA,Mean,0.258813844
C026_R6,BCA,SD,0.013902907
C026_R6,Biuret,Mean,0.274197231
C026_R6,Biuret,SD,0.01699078
C026_R3,BCA,Mean,0.254065013
C026_R3,BCA,SD,0.018585995
C026_R3,Biuret,Mean,0.293781063
C026_R3,Biuret,SD,0.016701751
C026_R10,BCA,Mean,0.202421937
C026_R10,BCA,SD,0.028659269
C026_R10,Biuret,Mean,0.240923133
C026_R10,Biuret,SD,0.042075456
C025_SS,BCA,Mean,0.264051219
C025_SS,BCA,SD,0.011604599
C025_SS,Biuret,Mean,0.286083651
C025_SS,Biuret,SD,0.007536789
C025_R6,BCA,Mean,0.256123261
C025_R6,BCA,SD,0.009122418
C025_R6,Biuret,Mean,0.264979605
C025_R6,Biuret,SD,0.015215282
C025_R3,BCA,Mean,0.249912778
C025_R3,BCA,SD,0.015512573
C025_R3,Biuret,Mean,0.288686611
C025_R3,Biuret,SD,0.010339292
C025_R10,BCA,Mean,0.216865263
C025_R10,BCA,SD,0.02880313
C025_R10,Biuret,Mean,0.278696025
C025_R10,Biuret,SD,0.054673208
C024_SS,BCA,Mean,0.217472895
C024_SS,BCA,SD,0.012200005
C024_SS,Biuret,Mean,0.289065549
C024_SS,Biuret,SD,0.004578813
C024_R6,BCA,Mean,0.223269649
C024_R6,BCA,SD,0.017341673
C024_R6,Biuret,Mean,0.292584995
C024_R6,Biuret,SD,0.007718305
C024_R3,BCA,Mean,0.215849381
C024_R3,BCA,SD,0.019410522
C024_R3,Biuret,Mean,0.281902487
C024_R3,Biuret,SD,0.002316455
C024_R10,BCA,Mean,0.229670347
C024_R10,BCA,SD,0.020494082
C024_R10,Biuret,Mean,0.279036601
C024_R10,Biuret,SD,0.001288455
C023_SS,BCA,Mean,0.216324863
C023_SS,BCA,SD,0.011668006
C023_SS,Biuret,Mean,0.312925021
C023_SS,Biuret,SD,0.00476726
C023_R6,BCA,Mean,0.225702192
C023_R6,BCA,SD,0.009552172
C023_R6,Biuret,Mean,0.283511223
C023_R6,Biuret,SD,0.001845637
C023_R3,BCA,Mean,0.214901412
C023_R3,BCA,SD,0.023013145
C023_R3,Biuret,Mean,0.268565314
C023_R3,Biuret,SD,0.004555915
C023_R10,BCA,Mean,0.223422611
C023_R10,BCA,SD,0.017894064
C023_R10,Biuret,Mean,0.279686595
C023_R10,Biuret,SD,0.0008002
